gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,associate's degree,standard,none,82,68,68
female,group D,master's degree,free/reduced,completed,71,88,85
male,group C,associate's degree,free/reduced,completed,40,55,57
male,group B,some high school,standard,none,71,67,73
female,group C,bachelor's degree,standard,completed,60,66,59
male,group D,bachelor's degree,standard,none,56,63,58
female,group C,bachelor's degree,standard,none,75,80,77
male,group B,some college,standard,completed,81,78,67
male,group D,high school,standard,none,80,75,69
female,group A,associate's degree,free/reduced,completed,53,55,51
male,group B,bachelor's degree,standard,none,61,75,82
female,group E,some high school,free/reduced,none,71,78,81
female,group B,bachelor's degree,standard,completed,81,79,80
male,group D,master's degree,free/reduced,completed,59,69,75
female,group B,high school,standard,none,63,37,36
female,group A,high school,free/reduced,none,49,63,66
female,group A,associate's degree,standard,none,48,33,32
female,group E,some college,standard,none,78,77,79
female,group C,associate's degree,standard,completed,86,77,72
female,group D,bachelor's degree,standard,completed,65,54,34
male,group D,master's degree,standard,none,81,95,94
female,group C,some high school,standard,none,71,69,80
male,group A,associate's degree,standard,none,56,62,69
male,group A,some college,free/reduced,completed,71,73,81
female,group B,associate's degree,standard,none,89,96,100
male,group E,high school,standard,none,65,68,69
male,group E,bachelor's degree,free/reduced,none,89,79,80
female,group E,bachelor's degree,standard,none,27,39,34
female,group B,bachelor's degree,standard,none,78,75,73
female,group E,bachelor's degree,standard,none,67,54,59
male,group C,bachelor's degree,free/reduced,completed,62,59,69
male,group B,bachelor's degree,free/reduced,completed,67,84,83
female,group C,some high school,free/reduced,completed,36,47,43
female,group B,some college,standard,none,63,61,61
male,group E,bachelor's degree,free/reduced,none,71,70,75
male,group C,some college,standard,none,88,87,75
male,group C,master's degree,standard,none,58,81,63
male,group C,bachelor's degree,standard,completed,54,60,55
female,group B,associate's degree,standard,none,58,65,55
male,group D,bachelor's degree,standard,none,80,92,88
male,group E,high school,standard,completed,71,75,74
male,group C,some high school,standard,completed,58,57,54
male,group D,associate's degree,standard,none,74,74,85
female,group E,associate's degree,free/reduced,none,67,69,71
female,group E,high school,standard,none,81,82,85
male,group C,bachelor's degree,free/reduced,none,55,65,70
male,group C,some high school,standard,none,61,64,54
female,group B,associate's degree,free/reduced,none,60,69,78
female,group D,some high school,standard,completed,44,45,45
male,group D,associate's degree,standard,none,70,73,79
male,group C,bachelor's degree,standard,none,70,52,43
female,group E,master's degree,standard,none,66,77,65
female,group C,associate's degree,free/reduced,none,62,68,74
female,group E,master's degree,standard,completed,45,57,60
female,group E,associate's degree,standard,none,60,33,26
female,group C,some college,free/reduced,none,61,84,77
female,group A,bachelor's degree,standard,none,54,55,64
male,group D,high school,standard,completed,64,77,67
female,group E,master's degree,standard,none,72,64,77
female,group E,high school,standard,completed,94,100,93
female,group A,bachelor's degree,standard,none,69,60,65
female,group B,high school,standard,none,70,66,63
male,group A,bachelor's degree,free/reduced,none,65,86,91
male,group A,high school,standard,completed,37,37,33
female,group E,master's degree,standard,completed,66,70,68
male,group D,some college,standard,none,67,78,78
male,group A,high school,free/reduced,none,100,100,92
male,group B,master's degree,free/reduced,none,63,67,73
male,group C,associate's degree,standard,none,71,76,72
male,group A,bachelor's degree,free/reduced,none,65,92,90
male,group A,some high school,standard,completed,48,50,42
female,group B,some high school,standard,completed,83,87,67
female,group D,bachelor's degree,standard,none,77,90,88
female,group A,some college,standard,none,78,91,100
female,group A,high school,standard,completed,52,66,73
female,group D,some college,free/reduced,completed,87,95,95
male,group B,some high school,standard,none,45,36,33
female,group A,master's degree,free/reduced,none,75,93,93
female,group D,bachelor's degree,standard,none,99,89,94
male,group A,bachelor's degree,standard,none,51,56,47
male,group C,some college,standard,none,58,52,61
female,group E,master's degree,standard,none,67,69,75
male,group C,some college,standard,none,58,64,69
male,group A,high school,standard,none,43,48,51
male,group B,associate's degree,standard,none,67,73,73
male,group E,master's degree,standard,none,50,68,74
female,group C,associate's degree,free/reduced,completed,73,80,84
male,group D,high school,standard,completed,52,52,49
female,group B,associate's degree,standard,none,89,100,95
female,group C,some high school,standard,none,54,68,69
male,group D,associate's degree,free/reduced,completed,61,51,63
male,group A,high school,free/reduced,none,78,86,76
male,group D,associate's degree,standard,none,48,57,45
female,group C,bachelor's degree,standard,none,69,68,70
male,group C,some college,standard,none,86,100,100
male,group A,some high school,free/reduced,none,42,42,44
male,group D,bachelor's degree,standard,completed,69,72,74
male,group D,bachelor's degree,standard,none,70,70,68
male,group A,high school,standard,none,78,80,92
female,group D,some college,standard,completed,47,38,26
male,group A,some college,free/reduced,none,46,34,27
male,group B,master's degree,standard,none,74,92,91
male,group C,some high school,standard,none,70,64,51
female,group B,high school,standard,none,70,62,60
male,group E,some high school,free/reduced,none,71,52,65
female,group E,master's degree,free/reduced,none,56,51,52
female,group E,associate's degree,standard,none,69,58,60
male,group A,bachelor's degree,standard,completed,70,89,79
male,group D,some high school,free/reduced,none,55,67,62
male,group B,bachelor's degree,standard,none,94,89,86
female,group B,high school,standard,none,73,98,95
female,group B,associate's degree,standard,none,48,60,70
female,group B,high school,free/reduced,none,76,75,79
female,group E,associate's degree,standard,completed,51,28,19
female,group B,associate's degree,free/reduced,none,78,100,100
female,group D,bachelor's degree,standard,none,83,71,75
male,group E,high school,standard,completed,54,39,48
male,group B,high school,standard,none,80,93,100
female,group A,some high school,standard,none,72,99,90
male,group C,high school,standard,completed,78,94,88
male,group C,some high school,standard,completed,94,100,90
female,group C,some college,standard,completed,62,70,68
female,group E,some college,free/reduced,none,55,65,69
male,group B,some college,free/reduced,none,53,62,70
female,group E,master's degree,standard,completed,54,59,58
female,group D,high school,standard,none,65,68,65
male,group A,master's degree,standard,none,71,72,74
female,group A,high school,standard,completed,70,65,58
male,group C,some high school,free/reduced,none,78,78,94
male,group C,master's degree,standard,completed,66,51,38
male,group C,master's degree,standard,none,88,89,90
male,group B,master's degree,free/reduced,none,62,54,70
male,group D,associate's degree,standard,none,100,91,91
female,group D,some high school,standard,completed,75,79,78
female,group D,some college,standard,none,53,69,66
female,group D,some high school,standard,none,50,61,60
female,group C,associate's degree,standard,completed,73,60,71
male,group A,high school,free/reduced,completed,63,55,37
male,group C,some high school,free/reduced,completed,77,88,100
female,group D,master's degree,standard,none,73,65,54
male,group C,some college,free/reduced,none,65,65,63
female,group D,some college,standard,completed,53,61,57
female,group E,high school,free/reduced,none,43,36,40
female,group A,some high school,standard,none,59,62,50
male,group E,associate's degree,free/reduced,none,79,68,71
male,group B,high school,free/reduced,completed,69,65,81
male,group C,some high school,standard,none,47,53,42
male,group B,bachelor's degree,free/reduced,completed,69,55,56
female,group C,some college,free/reduced,none,72,78,73
male,group E,associate's degree,free/reduced,none,53,55,58
male,group D,master's degree,standard,none,68,76,76
male,group D,associate's degree,free/reduced,none,67,71,66
female,group C,master's degree,free/reduced,none,49,64,68
female,group D,associate's degree,standard,none,71,75,89
male,group E,some college,free/reduced,none,74,72,71
male,group D,master's degree,standard,completed,82,85,91
male,group E,some high school,standard,completed,82,89,79
male,group B,master's degree,standard,completed,45,48,40
female,group E,high school,standard,none,52,54,58
male,group A,some high school,standard,none,74,69,81
male,group A,high school,standard,none,74,69,72
male,group A,associate's degree,free/reduced,completed,74,62,59
female,group C,some high school,standard,completed,100,100,100
female,group C,associate's degree,standard,completed,75,64,54
male,group C,bachelor's degree,standard,none,83,78,83
male,group E,associate's degree,standard,none,80,75,82
male,group C,associate's degree,free/reduced,none,76,87,83
male,group B,high school,standard,none,61,60,57
male,group A,master's degree,free/reduced,none,77,92,94
female,group E,bachelor's degree,standard,completed,54,50,46
female,group A,associate's degree,standard,none,62,67,67
female,group C,associate's degree,standard,none,59,52,69
male,group E,bachelor's degree,standard,none,67,91,89
female,group D,bachelor's degree,standard,completed,100,90,87
female,group B,some high school,standard,none,38,43,38
female,group C,high school,standard,completed,76,85,91
male,group C,bachelor's degree,free/reduced,completed,42,48,46
male,group B,bachelor's degree,standard,none,59,59,54
female,group B,some college,standard,none,82,83,94
male,group D,master's degree,standard,none,67,69,81
female,group C,bachelor's degree,standard,none,50,50,46
female,group C,high school,free/reduced,completed,55,67,52
female,group A,master's degree,standard,completed,76,100,100
female,group E,master's degree,standard,none,55,51,46
male,group E,associate's degree,free/reduced,none,69,58,64
male,group A,associate's degree,standard,none,67,68,52
male,group E,associate's degree,standard,none,56,84,91
male,group B,associate's degree,standard,none,98,92,82
female,group E,some college,standard,none,76,94,100
male,group E,bachelor's degree,free/reduced,none,36,54,55
female,group A,associate's degree,free/reduced,completed,69,65,58
male,group D,some high school,free/reduced,none,56,64,61
male,group E,associate's degree,standard,none,79,97,100
male,group E,bachelor's degree,standard,none,54,52,53
female,group D,associate's degree,free/reduced,completed,64,64,69
female,group A,some college,standard,none,74,70,86
female,group D,high school,standard,none,79,71,58
female,group A,high school,standard,none,48,44,56
male,group B,bachelor's degree,standard,completed,61,51,52
female,group A,high school,standard,none,59,61,54
female,group B,high school,free/reduced,completed,56,51,40
male,group B,some high school,free/reduced,completed,92,97,95
male,group A,bachelor's degree,standard,completed,72,59,66
female,group C,bachelor's degree,standard,none,47,52,51
male,group A,high school,standard,none,80,90,100
female,group E,high school,free/reduced,none,98,80,68
male,group E,high school,standard,completed,81,87,87
female,group C,master's degree,free/reduced,none,43,57,47
female,group B,some college,standard,none,59,49,52
female,group C,associate's degree,standard,completed,85,100,100
female,group E,some college,standard,none,55,62,58
female,group C,bachelor's degree,free/reduced,none,73,68,47
male,group A,some high school,standard,none,78,79,81
female,group C,associate's degree,standard,none,52,60,63
female,group B,some high school,standard,completed,65,68,71
female,group A,master's degree,free/reduced,none,17,25,35
female,group D,bachelor's degree,free/reduced,none,51,43,35
female,group E,master's degree,standard,none,62,66,71
male,group E,bachelor's degree,free/reduced,completed,47,35,45
male,group C,some high school,standard,completed,90,91,77
female,group A,some high school,standard,none,45,38,40
male,group D,some high school,standard,none,59,54,50
female,group A,bachelor's degree,standard,none,68,82,82
male,group E,high school,free/reduced,completed,88,100,100
male,group A,some high school,free/reduced,none,44,53,49
female,group D,master's degree,standard,completed,83,75,69
male,group C,associate's degree,standard,none,66,65,65
male,group B,bachelor's degree,free/reduced,none,51,65,57
female,group A,master's degree,free/reduced,none,73,76,68
female,group B,some college,standard,completed,69,94,100
male,group E,some college,free/reduced,none,57,63,54
male,group C,associate's degree,standard,completed,67,71,76
male,group C,high school,standard,none,60,59,63
female,group A,some high school,free/reduced,none,68,71,57
male,group C,bachelor's degree,standard,none,76,76,71
male,group A,master's degree,standard,completed,90,99,100
male,group A,some high school,standard,none,47,59,51
female,group B,master's degree,free/reduced,completed,98,92,88
female,group C,bachelor's degree,free/reduced,completed,37,25,29
female,group A,some college,standard,completed,64,47,54
female,group B,some high school,standard,none,75,82,80
male,group D,associate's degree,standard,completed,70,61,56
female,group B,high school,standard,completed,57,37,49
male,group B,associate's degree,standard,none,63,69,83
male,group A,high school,free/reduced,none,59,86,93
male,group E,master's degree,standard,none,57,59,60
male,group E,some high school,standard,none,79,89,83
female,group E,some high school,standard,none,71,74,68
female,group B,high school,standard,none,56,57,61
female,group A,some college,free/reduced,none,79,91,94
female,group C,bachelor's degree,standard,none,71,70,81
female,group B,associate's degree,standard,none,78,83,88
male,group B,master's degree,standard,none,75,81,69
female,group A,associate's degree,standard,none,54,49,57
female,group D,associate's degree,standard,none,58,70,62
female,group B,master's degree,standard,none,77,77,74
female,group D,master's degree,standard,none,75,70,72
male,group D,some high school,standard,none,66,73,89
male,group E,associate's degree,standard,completed,68,61,86
male,group A,bachelor's degree,standard,none,85,87,92
male,group D,bachelor's degree,free/reduced,completed,57,59,58
male,group A,high school,standard,none,74,87,91
female,group E,master's degree,standard,none,63,70,77
male,group A,some high school,standard,none,63,64,62
male,group B,bachelor's degree,standard,none,82,93,100
male,group D,some college,free/reduced,completed,78,94,96
female,group A,some high school,standard,none,78,86,90
female,group C,some high school,free/reduced,none,86,88,93
male,group A,bachelor's degree,standard,none,66,55,59
female,group D,some college,standard,none,76,68,74
female,group E,high school,free/reduced,completed,61,60,55
male,group E,bachelor's degree,standard,completed,71,67,62
female,group D,some college,standard,none,64,64,55
female,group B,some high school,standard,none,67,70,74
female,group B,some college,free/reduced,none,75,82,88
male,group E,some high school,standard,completed,54,55,59
male,group E,bachelor's degree,free/reduced,none,97,100,100
male,group D,master's degree,standard,none,51,54,54
female,group B,bachelor's degree,free/reduced,completed,48,30,35
male,group E,associate's degree,standard,none,83,76,67
female,group B,associate's degree,free/reduced,none,78,78,75
female,group E,associate's degree,standard,completed,75,65,71
female,group A,bachelor's degree,free/reduced,none,75,83,90
male,group C,high school,standard,none,66,83,81
male,group A,bachelor's degree,standard,none,53,67,66
male,group E,master's degree,standard,none,67,67,55
male,group C,some college,standard,none,56,73,70
female,group C,bachelor's degree,standard,completed,81,84,91
male,group E,bachelor's degree,free/reduced,none,64,62,67
female,group E,some high school,free/reduced,completed,54,49,53
male,group B,some high school,standard,completed,61,60,61
male,group E,some high school,free/reduced,none,72,70,70
male,group D,bachelor's degree,standard,none,58,61,56
female,group E,high school,standard,none,54,57,63
female,group D,some college,free/reduced,completed,70,72,75
female,group E,some college,standard,completed,70,76,80
female,group B,master's degree,free/reduced,none,58,72,68
female,group D,high school,standard,completed,59,70,53
male,group A,high school,standard,none,69,57,65
female,group D,some college,standard,completed,44,21,17
female,group B,associate's degree,standard,none,45,56,49
female,group D,some high school,standard,none,55,44,49
female,group E,some high school,free/reduced,completed,63,63,59
male,group E,some college,free/reduced,none,71,61,69
female,group B,high school,free/reduced,none,88,72,77
male,group C,master's degree,standard,none,79,86,92
male,group E,associate's degree,standard,none,64,73,62
male,group A,some college,standard,none,66,62,72
female,group B,some high school,standard,completed,51,27,29
male,group D,bachelor's degree,standard,none,66,62,59
female,group D,high school,free/reduced,none,62,68,69
female,group A,bachelor's degree,standard,completed,71,58,44
female,group E,master's degree,standard,none,54,57,61
female,group B,some college,standard,none,74,76,67
female,group A,some high school,standard,completed,89,97,86
male,group E,associate's degree,standard,completed,64,68,55
male,group B,bachelor's degree,free/reduced,none,72,64,73
female,group D,associate's degree,standard,completed,76,90,85
male,group B,master's degree,free/reduced,none,60,60,73
female,group C,some high school,standard,completed,69,71,67
male,group B,bachelor's degree,standard,none,66,59,45
male,group C,master's degree,standard,completed,67,65,56
male,group B,associate's degree,free/reduced,none,54,48,57
male,group C,associate's degree,free/reduced,completed,66,67,65
male,group D,bachelor's degree,standard,completed,73,93,88
female,group E,some high school,standard,completed,88,76,77
female,group C,associate's degree,standard,none,80,66,70
male,group C,some college,standard,none,98,100,100
female,group D,master's degree,free/reduced,none,54,54,66
male,group C,bachelor's degree,standard,completed,79,74,72
female,group A,high school,standard,none,69,81,71
male,group D,high school,standard,completed,99,95,91
male,group A,some high school,standard,completed,54,74,76
male,group D,some college,standard,none,53,62,54
female,group C,associate's degree,standard,completed,57,54,46
female,group A,high school,free/reduced,none,34,58,60
male,group C,some high school,free/reduced,none,58,54,54
male,group D,master's degree,standard,none,55,64,64
female,group C,some college,free/reduced,none,68,73,67
female,group A,some college,standard,completed,71,86,84
female,group A,some high school,standard,none,94,100,93
female,group C,some high school,standard,none,80,83,90
female,group B,associate's degree,standard,completed,57,52,60
male,group D,some high school,standard,completed,53,59,44
female,group D,associate's degree,standard,none,73,69,61
male,group C,associate's degree,standard,completed,46,68,56
male,group B,bachelor's degree,free/reduced,none,93,97,92
female,group A,some college,standard,none,84,82,81
female,group E,master's degree,standard,none,59,63,51
male,group E,some college,standard,none,40,29,21
female,group C,some college,standard,completed,86,79,71
male,group B,bachelor's degree,standard,none,64,78,80
female,group B,associate's degree,free/reduced,completed,85,80,81
female,group D,associate's degree,standard,none,42,34,28
female,group A,some high school,standard,none,57,64,66
male,group B,bachelor's degree,standard,completed,66,80,76
female,group E,some high school,standard,completed,67,76,74
male,group A,bachelor's degree,standard,none,59,71,85
female,group A,some high school,standard,none,75,70,80
male,group C,high school,standard,none,50,38,27
female,group B,some college,standard,none,64,81,88
male,group C,some college,standard,completed,68,67,73
male,group B,master's degree,free/reduced,completed,74,73,64
male,group D,associate's degree,standard,none,77,92,99
male,group C,master's degree,free/reduced,completed,49,57,69
male,group C,high school,free/reduced,none,43,50,41
male,group E,master's degree,standard,none,85,100,93
female,group C,some college,standard,none,71,67,75
male,group B,associate's degree,standard,none,55,66,68
male,group E,high school,standard,none,89,92,96
male,group C,some college,standard,none,68,72,75
female,group C,some high school,free/reduced,none,84,100,100
female,group D,bachelor's degree,free/reduced,none,67,74,63
female,group C,high school,standard,completed,97,100,100
male,group A,associate's degree,standard,none,92,100,100
female,group E,master's degree,standard,none,62,61,59
female,group A,master's degree,free/reduced,completed,81,74,74
male,group E,high school,standard,completed,76,67,55
male,group D,associate's degree,standard,completed,87,69,73
female,group C,high school,free/reduced,none,52,74,79
male,group C,associate's degree,standard,none,76,67,67
male,group C,master's degree,free/reduced,none,82,82,91
male,group E,some college,standard,none,40,39,36
male,group C,some high school,standard,completed,48,53,58
female,group A,some college,free/reduced,none,35,46,37
male,group C,some high school,standard,none,62,73,72
female,group D,master's degree,standard,none,77,73,72
female,group A,some college,standard,none,89,89,91
female,group C,some college,standard,completed,67,72,69
female,group C,high school,standard,none,90,90,89
male,group B,bachelor's degree,standard,none,45,63,70
male,group E,master's degree,standard,none,40,47,44
male,group A,associate's degree,standard,none,65,75,62
female,group B,master's degree,free/reduced,none,72,80,94
female,group D,associate's degree,free/reduced,none,66,79,90
female,group E,associate's degree,standard,none,35,39,28
male,group A,some high school,standard,completed,65,54,59
female,group C,associate's degree,standard,completed,46,52,48
male,group A,associate's degree,standard,completed,76,72,74
male,group C,high school,free/reduced,completed,71,68,71
male,group E,some college,free/reduced,none,52,60,58
male,group C,master's degree,standard,none,58,73,66
female,group D,master's degree,standard,none,50,52,47
male,group C,associate's degree,standard,completed,65,70,63
female,group D,bachelor's degree,standard,completed,80,99,93
male,group E,master's degree,standard,completed,51,56,55
female,group E,associate's degree,free/reduced,none,74,100,94
female,group A,some high school,free/reduced,completed,58,66,71
male,group D,some high school,standard,none,54,38,50
male,group D,some high school,standard,none,64,74,69
male,group B,associate's degree,free/reduced,none,50,56,58
female,group B,high school,standard,none,58,73,77
male,group B,bachelor's degree,standard,none,48,57,61
male,group C,associate's degree,standard,none,95,96,97
female,group B,high school,free/reduced,none,67,56,62
male,group D,high school,standard,none,56,55,59
female,group C,master's degree,standard,completed,69,63,53
male,group E,associate's degree,free/reduced,completed,64,61,67
female,group A,associate's degree,free/reduced,none,63,71,78
female,group B,high school,free/reduced,completed,75,94,88
male,group E,high school,standard,completed,77,83,84
female,group D,high school,standard,none,58,48,54
male,group A,master's degree,free/reduced,none,57,64,62
male,group E,associate's degree,free/reduced,none,62,76,84
female,group A,high school,standard,none,31,27,46
male,group B,some high school,standard,completed,43,44,38
female,group D,associate's degree,free/reduced,completed,87,89,78
female,group A,master's degree,free/reduced,none,91,85,87
female,group E,some high school,standard,completed,62,71,77
female,group B,some college,standard,completed,75,75,74
female,group B,associate's degree,standard,completed,71,77,88
female,group E,some college,standard,none,100,93,82
female,group E,high school,standard,completed,83,80,86
female,group A,master's degree,standard,none,64,73,68
male,group C,high school,standard,none,52,50,64
male,group B,master's degree,standard,none,42,61,77
female,group A,bachelor's degree,standard,none,69,67,61
male,group E,high school,free/reduced,completed,55,59,55
male,group A,some college,standard,none,45,56,63
male,group E,master's degree,standard,none,56,44,41
male,group D,high school,free/reduced,none,50,34,34
male,group E,associate's degree,standard,completed,91,78,78
male,group E,master's degree,free/reduced,none,79,94,78
female,group E,master's degree,free/reduced,completed,66,62,62
male,group C,high school,standard,none,88,100,94
male,group E,bachelor's degree,free/reduced,none,67,64,60
male,group B,high school,standard,none,53,57,68
male,group B,some college,standard,none,89,100,90
female,group A,some college,standard,none,74,96,100
female,group C,master's degree,standard,none,50,73,71
female,group A,master's degree,free/reduced,completed,63,77,75
female,group B,high school,standard,none,53,65,71
male,group B,some college,standard,none,45,53,56
female,group D,some college,standard,none,80,90,94
female,group E,bachelor's degree,standard,completed,95,91,99
female,group B,associate's degree,standard,none,45,39,36
female,group A,bachelor's degree,standard,none,74,76,72
male,group A,some high school,free/reduced,completed,56,57,48
female,group E,bachelor's degree,standard,none,59,56,50
male,group E,high school,free/reduced,none,57,66,90
female,group D,associate's degree,standard,none,53,65,75
male,group C,high school,free/reduced,none,67,70,59
male,group A,some high school,free/reduced,none,54,70,60
female,group E,associate's degree,standard,none,70,61,64
female,group A,master's degree,standard,none,65,65,70
female,group E,some college,free/reduced,none,62,57,62
female,group B,bachelor's degree,standard,none,52,36,34
male,group A,high school,free/reduced,completed,57,59,58
male,group B,some high school,standard,completed,77,78,81
female,group A,some college,standard,completed,74,91,91
female,group C,bachelor's degree,standard,none,51,60,42
male,group D,some college,free/reduced,none,67,59,57
female,group B,bachelor's degree,standard,none,77,98,91
male,group E,master's degree,free/reduced,none,41,55,57
female,group C,associate's degree,free/reduced,completed,74,82,100
male,group A,some college,standard,none,56,56,59
male,group B,some college,standard,none,75,67,64
male,group A,some college,free/reduced,none,55,53,60
male,group A,associate's degree,standard,none,39,52,56
male,group A,some high school,free/reduced,none,42,62,66
female,group D,bachelor's degree,standard,none,67,84,89
male,group D,master's degree,standard,none,70,67,83
female,group E,some college,free/reduced,completed,52,43,34
male,group B,associate's degree,standard,none,76,79,83
male,group C,some high school,standard,completed,41,25,18
female,group C,bachelor's degree,standard,completed,65,70,75
female,group C,associate's degree,standard,none,48,48,41
female,group A,master's degree,standard,completed,56,54,50
female,group D,master's degree,free/reduced,none,67,53,50
male,group B,bachelor's degree,standard,completed,53,60,68
female,group A,some college,standard,none,60,57,64
male,group D,master's degree,standard,none,81,71,61
female,group D,some high school,standard,none,57,31,31
female,group B,associate's degree,standard,none,79,80,75
male,group B,some high school,free/reduced,completed,49,69,59
male,group B,some college,free/reduced,none,74,93,91
female,group A,some high school,standard,completed,88,85,83
male,group E,some high school,standard,none,29,25,44
male,group B,high school,standard,completed,54,61,64
male,group E,some high school,standard,none,75,67,56
male,group A,bachelor's degree,standard,none,63,68,63
male,group E,associate's degree,standard,none,72,81,89
male,group C,high school,standard,completed,57,71,88
male,group E,associate's degree,standard,none,67,68,56
male,group B,associate's degree,standard,none,64,64,49
female,group A,some college,free/reduced,none,84,77,92
male,group B,some college,standard,completed,70,64,67
female,group C,high school,standard,none,71,71,64
male,group B,master's degree,standard,none,60,65,70
male,group B,some college,standard,none,59,70,49
male,group B,some college,free/reduced,completed,60,53,54
male,group D,some college,standard,completed,72,89,91
female,group C,associate's degree,standard,none,60,59,66
female,group B,high school,standard,none,70,72,64
male,group B,associate's degree,free/reduced,none,97,92,92
female,group B,bachelor's degree,standard,none,79,57,49
male,group A,associate's degree,standard,none,61,72,74
male,group D,bachelor's degree,standard,completed,84,93,86
female,group A,some high school,standard,none,60,59,56
female,group D,some high school,standard,completed,35,38,30
male,group B,bachelor's degree,standard,none,51,58,63
male,group C,bachelor's degree,standard,completed,38,24,31
female,group E,associate's degree,free/reduced,none,61,57,56
male,group E,bachelor's degree,standard,none,66,76,77
female,group B,high school,standard,none,91,81,69
male,group A,some high school,standard,none,71,76,73
male,group C,some high school,free/reduced,none,63,51,51
female,group D,master's degree,standard,completed,78,85,100
female,group B,bachelor's degree,free/reduced,completed,33,34,26
female,group C,some college,standard,none,70,55,67
male,group C,some college,standard,none,78,91,99
male,group D,bachelor's degree,standard,none,44,38,41
male,group C,high school,standard,none,83,77,91
male,group A,some college,free/reduced,none,71,75,78
female,group A,master's degree,free/reduced,completed,60,73,76
male,group A,bachelor's degree,standard,completed,75,67,67
male,group C,high school,standard,completed,100,100,100
male,group A,high school,free/reduced,none,69,75,84
female,group D,associate's degree,standard,completed,70,79,74
male,group C,high school,standard,completed,59,63,52
male,group E,some college,standard,none,53,52,50
female,group C,some college,standard,none,78,72,66
male,group D,bachelor's degree,standard,completed,53,56,56
male,group E,bachelor's degree,standard,none,67,58,68
female,group C,high school,standard,none,59,32,28
male,group A,master's degree,standard,none,73,80,79
male,group B,some high school,standard,none,71,82,83
male,group B,associate's degree,standard,none,82,60,67
female,group A,some high school,free/reduced,completed,58,50,32
male,group B,high school,standard,completed,62,70,65
male,group B,high school,standard,none,51,74,76
female,group A,some high school,free/reduced,none,59,62,71
female,group A,associate's degree,free/reduced,none,72,66,62
male,group C,some high school,standard,none,77,78,63
male,group C,bachelor's degree,standard,none,52,68,73
male,group A,some college,free/reduced,none,79,75,70
male,group D,master's degree,free/reduced,none,86,80,71
female,group B,bachelor's degree,free/reduced,none,72,69,64
male,group C,some college,free/reduced,none,94,87,85
female,group B,master's degree,standard,none,54,58,53
female,group E,master's degree,standard,none,47,66,48
male,group A,master's degree,standard,completed,39,45,52
male,group D,high school,standard,none,88,88,98
female,group E,master's degree,standard,completed,76,75,80
female,group E,associate's degree,standard,none,65,52,42
male,group E,some high school,standard,none,70,81,79
female,group A,associate's degree,free/reduced,completed,49,50,50
male,group C,some high school,standard,none,100,100,100
male,group A,bachelor's degree,standard,none,68,100,100
female,group C,bachelor's degree,standard,none,68,73,67
female,group E,some high school,standard,none,77,71,72
male,group E,associate's degree,free/reduced,completed,73,71,75
female,group D,some high school,standard,none,69,83,94
male,group C,master's degree,free/reduced,none,54,57,63
male,group E,high school,standard,none,73,61,67
male,group B,bachelor's degree,standard,none,94,100,100
female,group D,high school,standard,completed,86,81,93
male,group A,master's degree,standard,completed,90,100,100
male,group D,master's degree,free/reduced,none,58,71,64
male,group B,bachelor's degree,standard,none,51,49,60
male,group C,bachelor's degree,free/reduced,completed,64,79,85
